title,author,publisher,pub_date,price,score,image_src,image_name
파이썬 플레이그라운드,마헤시 벤키타찰람,에이콘출판사,2016년 11월,"27,000",,https://image.yes24.com/goods/33236405/L,33236405
파이썬 병렬 프로그래밍,얀 팔라흐,에이콘출판사,2016년 11월,"12,600",8,https://image.yes24.com/goods/32946076/L,32946076
파이썬으로 처음 시작하는 코딩,롭 마일스,에이콘출판사,2018년 12월,"36,000",,https://image.yes24.com/goods/67516335/L,67516335
파이썬 라이브러리로 배우는 딥러닝 입문과 응용,발렌티노 조카,제이펍,2018년 12월,"25,200",,https://image.yes24.com/goods/67293302/L,67293302
파이썬과 비즈니스 자동화,체탄 기리다,에이콘출판사,2018년 11월,"27,000",,https://image.yes24.com/goods/66368636/L,66368636
파이썬으로 만드는 서버리스 애플리케이션,잘렘 라지 로히트,에이콘출판사,2018년 10월,"22,500",,https://image.yes24.com/goods/65572031/L,65572031
누구나 쉽게 배우는 파이썬 프로그래밍,제이슨 R. 브리그스,비제이퍼블릭(BJ퍼블릭),2013년 08월,"24,300",9,https://image.yes24.com/goods/9313650/L,9313650
코딩 클럽 LV2. 본격 파이썬 입문,크리스 로피,한빛미디어,2015년 09월,"9,000",,https://image.yes24.com/goods/20052461/L,20052461
파이썬을 이용한 데이터 분석 2/e,아르만도 판당고,에이콘출판사,2018년 01월,"27,000",,https://image.yes24.com/goods/58038660/L,58038660
파이썬 완벽 가이드,데이비드 M. 비즐리,인사이트(insight),2012년 04월,"34,200",8.6,https://image.yes24.com/goods/6694057/L,6694057
엔지니어를 위한 파이썬,나카쿠키 켄지,제이펍,2017년 11월,"25,200",10,https://image.yes24.com/goods/56900453/L,56900453
파이썬으로 배우는 대규모 머신 러닝,바스티앙 스야딘,에이콘출판사,2017년 07월,"31,500",,https://image.yes24.com/goods/43213806/L,43213806
3step으로 확실하게 배우는 파이썬 입문,야마다 요시히로,시그마프레스,2021년 01월,"25,000",,https://image.yes24.com/goods/96658190/L,96658190
머신 러닝 인 파이썬,마이클 보울즈,비제이퍼블릭(BJ퍼블릭),2015년 11월,"24,300",,https://image.yes24.com/goods/23023041/L,23023041
파이썬으로 배우는 데이터 과학 2/e,알베르토 보스체티,에이콘출판사,2017년 12월,"27,000",7,https://image.yes24.com/goods/57237118/L,57237118
파이썬 분산 컴퓨팅,프란세스코 피에르페데리시,에이콘출판사,2016년 11월,"18,000",,https://image.yes24.com/goods/33384150/L,33384150
파이썬 핵심 레퍼런스,마크 러츠,인사이트(insight),2016년 08월,"15,120",,https://image.yes24.com/goods/30369616/L,30369616
모던 파이썬 쿡북,스티븐 로트,에이콘출판사,2018년 02월,"38,700",7,https://image.yes24.com/goods/58511590/L,58511590
데이터 과학,조엘 그루스,인사이트(insight),2020년 03월,"29,700",,https://image.yes24.com/goods/89379120/L,89379120
헬스케어 분석을 위한 머신러닝,에듀오닉스 러닝 솔루션스,에이콘출판사,2022년 03월,"22,500",,https://image.yes24.com/goods/108224313/L,108224313
파이썬 데이터 클리닝 쿡북,마이클 워커,위키북스,2021년 11월,"25,200",,https://image.yes24.com/goods/105030647/L,105030647
창의적 컴퓨팅,한양대학교 소프트웨어교육위원회,한양대학교출판부,2021년 02월,"16,000",10,https://image.yes24.com/goods/97584878/L,97584878
Pandas로 하는 데이터 과학 2/e,마이클 헤이트,에이콘출판사,2018년 09월,"31,500",7,https://image.yes24.com/goods/64480749/L,64480749
손가락 하나 까딱하지 않는 주식 거래 시스템 구축,장용준,위키북스,2020년 04월,"24,300",8.3,https://image.yes24.com/goods/89999945/L,89999945
개념을 잡아주는 프로그래밍 정석,제니퍼 캠벨,에이콘출판사,2010년 05월,"22,500",10,https://image.yes24.com/goods/3798500/L,3798500
텐서플로를 이용한 고급 딥러닝,산타누 파타나야크,에이콘출판사,2019년 02월,"31,500",,https://image.yes24.com/goods/69746345/L,69746345
생활 속 문제를 통해 배워보는 머신 러닝,알렉산더 콤스,에이콘출판사,2017년 11월,"27,000",8,https://image.yes24.com/goods/56895569/L,56895569
게임으로 익히는 코딩 알고리즘,김영기,한빛미디어,2019년 05월,"19,800",8.9,https://image.yes24.com/goods/72298265/L,72298265
똑똑한 코드 작성을 위한 실전 알고리즘,조지 하이네만,한빛미디어,2022년 05월,"17,820",9.3,https://image.yes24.com/goods/109554881/L,109554881
파이썬과 파이게임,정선호,그린,2020년 02월,"28,000",,https://image.yes24.com/goods/91116215/L,91116215
엑셀Ⅹ파이썬 코드 레시피 125,카네히로 카즈미,AK(에이케이 커뮤니케이션즈),2022년 05월,"23,750",,https://image.yes24.com/goods/109304268/L,109304268
GAN 인 액션,야쿠프 란그르,한빛미디어,2020년 09월,"27,000",9.6,https://image.yes24.com/goods/92455849/L,92455849
파이썬 생활밀착형 프로젝트,김효실,로드북,2021년 06월,"22,500",9,https://image.yes24.com/goods/102094106/L,102094106
딥러닝을 위한 수학,아카이시 마사노리,위키북스,2020년 03월,"22,500",,https://image.yes24.com/goods/89609761/L,89609761
파이썬을 활용한 나만의 RPA 만들기 (2021),안정국,삼일인포마인,2021년 01월,"25,000",9.2,https://image.yes24.com/goods/96535228/L,96535228
파이썬 날코딩으로 알고 짜는 딥러닝,윤덕호,한빛미디어,2019년 07월,"40,500",9.7,https://image.yes24.com/goods/75732024/L,75732024
뇌를 자극하는 파이썬 3,박상현,한빛미디어,2016년 02월,"22,500",8.3,https://image.yes24.com/goods/24309262/L,24309262
모두의 엔트리 with 엔트리파이선,김슬기,길벗,2017년 11월,"16,200",10,https://image.yes24.com/goods/56849149/L,56849149
파이썬 스킬 업,브라이언 오버랜드,길벗,2021년 05월,"36,000",9.6,https://image.yes24.com/goods/101876329/L,101876329
파이썬 자료구조와 알고리즘 for Beginner,우재남,한빛아카데미,2021년 01월,"27,000",,https://image.yes24.com/goods/97142842/L,97142842
